x-axis,FFT
Hertz,dBV
+2.095000E+03,-99.53976E+00
+2.100000E+03,-101.14865E+00
+2.105000E+03,-101.82695E+00
+2.110000E+03,-110.11138E+00
+2.115000E+03,-106.01026E+00
+2.120000E+03,-95.01471E+00
+2.125000E+03,-94.73895E+00
+2.130000E+03,-93.47249E+00
+2.135000E+03,-93.66327E+00
+2.140000E+03,-95.85570E+00
+2.145000E+03,-96.12589E+00
+2.150000E+03,-104.76424E+00
+2.155000E+03,-106.08476E+00
+2.160000E+03,-94.93634E+00
+2.165000E+03,-96.06181E+00
+2.170000E+03,-107.25331E+00
+2.175000E+03,-107.64007E+00
+2.180000E+03,-98.85979E+00
+2.185000E+03,-96.15477E+00
+2.190000E+03,-99.78505E+00
+2.195000E+03,-101.62012E+00
+2.200000E+03,-96.09824E+00
+2.205000E+03,-104.32208E+00
+2.210000E+03,-107.04059E+00
+2.215000E+03,-97.67658E+00
+2.220000E+03,-105.77755E+00
+2.225000E+03,-110.62933E+00
+2.230000E+03,-105.71813E+00
+2.235000E+03,-99.53463E+00
+2.240000E+03,-94.69707E+00
+2.245000E+03,-92.33895E+00
+2.250000E+03,-90.64874E+00
+2.255000E+03,-95.46334E+00
+2.260000E+03,-121.93880E+00
+2.265000E+03,-98.00108E+00
+2.270000E+03,-94.29493E+00
+2.275000E+03,-101.56223E+00
+2.280000E+03,-109.32843E+00
+2.285000E+03,-115.00511E+00
+2.290000E+03,-117.79770E+00
+2.295000E+03,-104.38665E+00
+2.300000E+03,-101.64178E+00
+2.305000E+03,-102.27634E+00
+2.310000E+03,-99.48691E+00
+2.315000E+03,-102.42831E+00
+2.320000E+03,-104.65268E+00
+2.325000E+03,-97.73135E+00
+2.330000E+03,-92.23969E+00
+2.335000E+03,-101.97519E+00
+2.340000E+03,-103.92921E+00
+2.345000E+03,-96.00726E+00
+2.350000E+03,-94.15991E+00
+2.355000E+03,-103.97794E+00
+2.360000E+03,-99.85729E+00
+2.365000E+03,-94.67886E+00
+2.370000E+03,-96.26765E+00
+2.375000E+03,-103.87644E+00
+2.380000E+03,-101.96239E+00
+2.385000E+03,-102.73852E+00
+2.390000E+03,-99.11114E+00
+2.395000E+03,-92.83117E+00
+2.400000E+03,-93.49512E+00
+2.405000E+03,-97.45391E+00
+2.410000E+03,-95.53402E+00
+2.415000E+03,-101.74245E+00
+2.420000E+03,-110.42085E+00
+2.425000E+03,-104.16718E+00
+2.430000E+03,-99.82387E+00
+2.435000E+03,-99.82371E+00
+2.440000E+03,-95.59809E+00
+2.445000E+03,-96.60617E+00
+2.450000E+03,-110.09622E+00
+2.455000E+03,-97.56811E+00
+2.460000E+03,-90.80252E+00
+2.465000E+03,-95.20371E+00
+2.470000E+03,-111.05314E+00
+2.475000E+03,-110.80129E+00
+2.480000E+03,-101.37345E+00
+2.485000E+03,-93.83952E+00
+2.490000E+03,-88.55744E+00
+2.495000E+03,-91.14768E+00
+2.500000E+03,-94.73161E+00
+2.505000E+03,-99.97350E+00
+2.510000E+03,-104.60936E+00
+2.515000E+03,-104.55799E+00
+2.520000E+03,-104.78510E+00
+2.525000E+03,-103.48653E+00
+2.530000E+03,-102.01217E+00
+2.535000E+03,-103.81193E+00
+2.540000E+03,-105.41709E+00
+2.545000E+03,-96.40754E+00
+2.550000E+03,-90.49521E+00
+2.555000E+03,-94.14728E+00
+2.560000E+03,-92.46989E+00
+2.565000E+03,-94.09268E+00
+2.570000E+03,-94.99910E+00
+2.575000E+03,-92.47153E+00
+2.580000E+03,-92.15666E+00
+2.585000E+03,-95.61987E+00
+2.590000E+03,-91.03153E+00
+2.595000E+03,-93.27212E+00
+2.600000E+03,-97.10171E+00
+2.605000E+03,-101.09212E+00
+2.610000E+03,-105.48329E+00
+2.615000E+03,-102.65852E+00
+2.620000E+03,-91.84208E+00
+2.625000E+03,-92.92273E+00
+2.630000E+03,-97.17948E+00
+2.635000E+03,-100.01555E+00
+2.640000E+03,-98.06192E+00
+2.645000E+03,-102.23851E+00
+2.650000E+03,-96.79196E+00
+2.655000E+03,-107.46027E+00
+2.660000E+03,-100.07398E+00
+2.665000E+03,-93.80135E+00
+2.670000E+03,-90.48620E+00
+2.675000E+03,-92.82746E+00
+2.680000E+03,-94.49512E+00
+2.685000E+03,-98.13269E+00
+2.690000E+03,-93.63381E+00
+2.695000E+03,-95.06735E+00
+2.700000E+03,-95.33715E+00
+2.705000E+03,-97.11685E+00
+2.710000E+03,-100.24044E+00
+2.715000E+03,-99.25364E+00
+2.720000E+03,-93.40131E+00
+2.725000E+03,-95.28144E+00
+2.730000E+03,-103.95125E+00
+2.735000E+03,-100.72352E+00
+2.740000E+03,-93.32016E+00
+2.745000E+03,-102.81118E+00
+2.750000E+03,-102.22744E+00
+2.755000E+03,-97.57310E+00
+2.760000E+03,-97.07500E+00
+2.765000E+03,-99.16608E+00
+2.770000E+03,-95.22684E+00
+2.775000E+03,-104.41462E+00
+2.780000E+03,-94.09978E+00
+2.785000E+03,-93.98537E+00
+2.790000E+03,-103.92373E+00
+2.795000E+03,-111.29445E+00
+2.800000E+03,-104.07560E+00
+2.805000E+03,-95.70805E+00
+2.810000E+03,-91.30476E+00
+2.815000E+03,-95.14941E+00
+2.820000E+03,-96.35624E+00
+2.825000E+03,-94.29440E+00
+2.830000E+03,-95.40109E+00
+2.835000E+03,-99.29774E+00
+2.840000E+03,-98.50371E+00
+2.845000E+03,-99.59082E+00
+2.850000E+03,-105.86284E+00
+2.855000E+03,-103.05094E+00
+2.860000E+03,-103.69554E+00
+2.865000E+03,-95.96367E+00
+2.870000E+03,-89.39525E+00
+2.875000E+03,-100.14291E+00
+2.880000E+03,-92.98855E+00
+2.885000E+03,-92.44811E+00
+2.890000E+03,-96.94571E+00
+2.895000E+03,-97.00410E+00
+2.900000E+03,-94.80864E+00
+2.905000E+03,-99.23734E+00
+2.910000E+03,-98.62391E+00
+2.915000E+03,-99.19568E+00
+2.920000E+03,-102.07915E+00
+2.925000E+03,-99.54447E+00
+2.930000E+03,-94.50459E+00
+2.935000E+03,-97.42751E+00
+2.940000E+03,-96.91380E+00
+2.945000E+03,-102.51221E+00
+2.950000E+03,-99.52802E+00
+2.955000E+03,-102.74733E+00
+2.960000E+03,-99.78822E+00
+2.965000E+03,-97.26406E+00
+2.970000E+03,-93.43907E+00
+2.975000E+03,-95.62346E+00
+2.980000E+03,-88.73605E+00
+2.985000E+03,-93.85794E+00
+2.990000E+03,-96.28004E+00
+2.995000E+03,-95.47264E+00
+3.000000E+03,-94.31028E+00
+3.005000E+03,-93.67276E+00
+3.010000E+03,-91.86504E+00
+3.015000E+03,-99.34135E+00
+3.020000E+03,-105.34592E+00
+3.025000E+03,-99.68474E+00
+3.030000E+03,-102.03116E+00
+3.035000E+03,-103.10969E+00
+3.040000E+03,-100.87956E+00
+3.045000E+03,-101.45483E+00
+3.050000E+03,-99.78447E+00
+3.055000E+03,-101.02123E+00
+3.060000E+03,-97.78986E+00
+3.065000E+03,-97.90011E+00
+3.070000E+03,-98.71560E+00
+3.075000E+03,-100.76823E+00
+3.080000E+03,-103.54976E+00
+3.085000E+03,-101.17828E+00
+3.090000E+03,-100.72240E+00
+3.095000E+03,-111.19132E+00
+3.100000E+03,-105.23205E+00
+3.105000E+03,-97.33066E+00
+3.110000E+03,-97.15660E+00
+3.115000E+03,-99.26690E+00
+3.120000E+03,-104.34800E+00
+3.125000E+03,-109.36206E+00
+3.130000E+03,-101.07222E+00
+3.135000E+03,-99.81124E+00
+3.140000E+03,-102.10958E+00
+3.145000E+03,-98.08791E+00
+3.150000E+03,-92.82205E+00
+3.155000E+03,-94.14996E+00
+3.160000E+03,-102.22785E+00
+3.165000E+03,-103.31278E+00
+3.170000E+03,-100.94537E+00
+3.175000E+03,-100.40260E+00
+3.180000E+03,-96.39756E+00
+3.185000E+03,-96.80359E+00
+3.190000E+03,-102.34667E+00
+3.195000E+03,-99.57796E+00
+3.200000E+03,-96.58192E+00
+3.205000E+03,-99.52526E+00
+3.210000E+03,-104.05024E+00
+3.215000E+03,-109.18243E+00
+3.220000E+03,-101.15211E+00
+3.225000E+03,-103.35494E+00
+3.230000E+03,-107.86821E+00
+3.235000E+03,-101.60246E+00
+3.240000E+03,-95.68526E+00
+3.245000E+03,-102.51297E+00
+3.250000E+03,-108.66553E+00
+3.255000E+03,-101.49580E+00
+3.260000E+03,-95.40805E+00
+3.265000E+03,-96.88172E+00
+3.270000E+03,-96.39660E+00
+3.275000E+03,-98.05047E+00
+3.280000E+03,-96.97759E+00
+3.285000E+03,-95.25489E+00
+3.290000E+03,-101.66141E+00
+3.295000E+03,-117.69823E+00
+3.300000E+03,-102.80476E+00
+3.305000E+03,-98.81683E+00
+3.310000E+03,-99.39400E+00
+3.315000E+03,-106.11461E+00
+3.320000E+03,-100.91523E+00
+3.325000E+03,-97.76943E+00
+3.330000E+03,-94.23850E+00
+3.335000E+03,-98.27262E+00
+3.340000E+03,-104.09064E+00
+3.345000E+03,-100.87640E+00
+3.350000E+03,-100.20470E+00
+3.355000E+03,-100.41684E+00
+3.360000E+03,-96.79296E+00
+3.365000E+03,-96.68279E+00
+3.370000E+03,-98.60159E+00
+3.375000E+03,-104.57328E+00
+3.380000E+03,-101.80736E+00
+3.385000E+03,-95.94106E+00
+3.390000E+03,-99.42366E+00
+3.395000E+03,-100.99722E+00
+3.400000E+03,-98.42385E+00
+3.405000E+03,-110.96608E+00
+3.410000E+03,-101.05393E+00
+3.415000E+03,-102.67734E+00
+3.420000E+03,-105.38482E+00
+3.425000E+03,-108.33834E+00
+3.430000E+03,-99.12797E+00
+3.435000E+03,-97.82425E+00
+3.440000E+03,-99.06061E+00
+3.445000E+03,-106.41340E+00
+3.450000E+03,-109.26839E+00
+3.455000E+03,-101.25231E+00
+3.460000E+03,-95.60598E+00
+3.465000E+03,-95.70451E+00
+3.470000E+03,-98.72685E+00
+3.475000E+03,-98.34350E+00
+3.480000E+03,-97.41202E+00
+3.485000E+03,-96.08998E+00
+3.490000E+03,-93.65597E+00
+3.495000E+03,-95.44472E+00
+3.500000E+03,-100.45635E+00
+3.505000E+03,-108.58351E+00
+3.510000E+03,-111.86465E+00
+3.515000E+03,-107.63645E+00
+3.520000E+03,-105.15270E+00
+3.525000E+03,-99.89120E+00
+3.530000E+03,-98.61122E+00
+3.535000E+03,-104.51406E+00
+3.540000E+03,-107.80063E+00
+3.545000E+03,-104.84174E+00
+3.550000E+03,-104.09220E+00
+3.555000E+03,-106.85200E+00
+3.560000E+03,-102.12411E+00
+3.565000E+03,-98.37353E+00
+3.570000E+03,-101.30745E+00
+3.575000E+03,-103.14885E+00
+3.580000E+03,-100.75989E+00
+3.585000E+03,-101.32190E+00
+3.590000E+03,-100.49915E+00
+3.595000E+03,-104.79321E+00
+3.600000E+03,-101.58293E+00
+3.605000E+03,-111.03966E+00
+3.610000E+03,-98.81152E+00
+3.615000E+03,-105.49655E+00
+3.620000E+03,-104.73782E+00
+3.625000E+03,-105.84752E+00
+3.630000E+03,-99.23527E+00
+3.635000E+03,-96.75131E+00
+3.640000E+03,-98.32257E+00
+3.645000E+03,-108.31548E+00
+3.650000E+03,-112.63605E+00
+3.655000E+03,-100.21146E+00
+3.660000E+03,-97.95514E+00
+3.665000E+03,-100.32862E+00
+3.670000E+03,-99.42505E+00
+3.675000E+03,-105.10555E+00
+3.680000E+03,-102.78359E+00
+3.685000E+03,-103.78565E+00
+3.690000E+03,-105.12147E+00
+3.695000E+03,-112.14390E+00
+3.700000E+03,-104.44108E+00
+3.705000E+03,-101.84087E+00
+3.710000E+03,-100.39654E+00
+3.715000E+03,-104.22729E+00
+3.720000E+03,-98.03334E+00
+3.725000E+03,-96.54181E+00
+3.730000E+03,-103.23238E+00
+3.735000E+03,-103.20553E+00
+3.740000E+03,-99.43269E+00
+3.745000E+03,-100.93505E+00
+3.750000E+03,-101.41202E+00
+3.755000E+03,-99.52275E+00
+3.760000E+03,-98.26490E+00
+3.765000E+03,-97.25368E+00
+3.770000E+03,-98.06527E+00
+3.775000E+03,-101.85704E+00
+3.780000E+03,-98.06017E+00
+3.785000E+03,-99.70266E+00
+3.790000E+03,-112.18441E+00
+3.795000E+03,-113.18833E+00
+3.800000E+03,-102.97190E+00
+3.805000E+03,-100.57831E+00
+3.810000E+03,-99.99514E+00
+3.815000E+03,-102.58383E+00
+3.820000E+03,-105.28543E+00
+3.825000E+03,-97.12870E+00
+3.830000E+03,-95.46747E+00
+3.835000E+03,-99.73134E+00
+3.840000E+03,-101.91160E+00
+3.845000E+03,-100.29818E+00
+3.850000E+03,-96.55472E+00
+3.855000E+03,-107.93154E+00
+3.860000E+03,-113.16905E+00
+3.865000E+03,-104.66419E+00
+3.870000E+03,-101.70551E+00
+3.875000E+03,-97.01896E+00
+3.880000E+03,-93.18624E+00
+3.885000E+03,-95.47182E+00
+3.890000E+03,-97.66170E+00
+3.895000E+03,-103.20063E+00
+3.900000E+03,-102.79276E+00
+3.905000E+03,-97.34755E+00
+3.910000E+03,-99.37526E+00
+3.915000E+03,-101.22239E+00
